Algorithm,Run,HV,IGD,Spacing,Spread,BestScalar,Runtime_s
CL-NSGA-II (Proposed),0,65614.49635569834,8.919892193169996,0.3419802621197847,39.676290946515614,1099.410567220497,3.816821575164795
CL-NSGA-II (Proposed),1,69683.77623033975,7.504831080348522,0.6929082352271448,22.072869531493026,1097.0327817752918,3.970341920852661
CL-NSGA-II (Proposed),2,64723.431391465645,17.24432432887472,0.7483077995802287,63.85729694406661,1111.7412925322144,3.8020472526550293
CL-NSGA-II (Proposed),3,77364.04197861826,4.031695475027292,1.5837175410807414,74.42508840198278,1081.1194669258598,3.755855083465576
CL-NSGA-II (Proposed),4,62800.58417066399,22.648967223852033,1.6324283276184373,55.685714962076446,1118.7593736617496,3.664030075073242
CL-NSGA-II (Proposed),5,71468.21239620219,9.366082926374233,1.3279038273708585,28.73015375119538,1100.3940184600674,3.7996163368225098
CL-NSGA-II (Proposed),6,65246.420727565834,10.39420893670334,0.2736708858194705,23.313131773822448,1101.6324770389233,3.810917377471924
CL-NSGA-II (Proposed),7,70807.13022984887,2.402156994767049,0.7143173233383571,62.99746829614533,1085.4999340543475,3.8144590854644775
CL-NSGA-II (Proposed),8,77522.02213087352,4.782744359062492,0.8144606481976994,20.190384712173987,1092.0685198218166,3.767735719680786
CL-NSGA-II (Proposed),9,70654.72943337819,8.682918226689452,0.42006399142933776,33.85018880827397,1099.048568765319,3.748931884765625
CL-NSGA-II (Proposed),10,68659.20657919558,6.339558400061289,0.9892944673847008,69.90130462160157,1095.1769998472435,3.6505649089813232
CL-NSGA-II (Proposed),11,84395.74835170057,2.0964979561751194,0.7608157777981054,44.48713882700546,1066.409046444701,3.8066389560699463
CL-NSGA-II (Proposed),12,65686.90832963535,3.257497058789835,5.724119185646455,210.20906086475833,1089.2518028121185,3.6236655712127686
CL-NSGA-II (Proposed),13,57115.33036819319,32.683364580863675,0.40340144619921964,36.9883622170404,1133.9421696122622,3.736605167388916
CL-NSGA-II (Proposed),14,80009.07491019888,2.058222669889053,0.20392443688783973,54.417727215534526,1082.349836323206,3.7101316452026367
CL-NSGA-II (Proposed),15,67697.66469000616,11.437257712205643,0.19457027433853338,22.463157275575213,1103.1172147883983,3.842087745666504
CL-NSGA-II (Proposed),16,77148.17299419754,1.9536359457319734,0.3050800972457392,59.763864638650865,1081.9845413149592,3.7754533290863037
CL-NSGA-II (Proposed),17,68049.71726541073,3.4447002166022935,2.0924243291243485,41.83318742203108,1086.6184418709345,3.8125431537628174
CL-NSGA-II (Proposed),18,64356.373824109214,11.061318362992518,2.5920194543155786,94.95009842281051,1102.999253968069,3.58535099029541
CL-NSGA-II (Proposed),19,80522.01352919124,2.859930551792442,1.5470788053360711,234.13305058744248,1087.9291027988102,3.8045859336853027
Proposed w/o novelty (ablation),0,67161.30331308776,5.655891864333012,0.12006032986957482,38.964817892554336,1094.0325495528334,3.6672515869140625
Proposed w/o novelty (ablation),1,70756.36071322838,6.082302804455903,0.447011904585931,22.961944676790463,1094.342734400533,3.690791606903076
Proposed w/o novelty (ablation),2,65960.85871475312,14.588967594152756,1.688570119508058,100.05469150291647,1107.8996014452898,3.6207287311553955
Proposed w/o novelty (ablation),3,75348.56581494976,2.619461425494612,3.642741676972348,162.38691942814157,1083.247780324137,3.7357659339904785
Proposed w/o novelty (ablation),4,70380.1615069946,7.688689486839707,0.6190148327081723,34.67828267781359,1097.3247683638804,3.6917762756347656
Proposed w/o novelty (ablation),5,63745.16465647784,18.674209222368216,0.5738725057785048,49.8896783326596,1113.8449566713964,3.66255259513855
Proposed w/o novelty (ablation),6,65791.08862441847,9.528640168561772,0.1480211028007849,17.54288399043096,1100.4318849441952,3.7514498233795166
Proposed w/o novelty (ablation),7,69694.19636195184,2.8784507049206014,0.503637812144127,71.27670094469418,1088.368549637694,3.784252643585205
Proposed w/o novelty (ablation),8,77477.24855586735,4.634319623314919,2.031153779023496,182.5956606121272,1091.802818227877,3.736227035522461
Proposed w/o novelty (ablation),9,70505.25585377749,8.511095820151533,0.481977002958995,52.67699905955422,1098.8208103064833,3.621046543121338
Proposed w/o novelty (ablation),10,61470.08835046376,14.847654075799106,2.1434967431138205,107.32741117721112,1108.413937713581,3.5520951747894287
Proposed w/o novelty (ablation),11,76812.52476657288,2.6464806203133295,1.1030575344191051,51.31361637917418,1079.9557113310238,3.7174642086029053
Proposed w/o novelty (ablation),12,62132.42842362946,12.390501723652184,0.5622856831725366,40.79973543634873,1104.6686729638625,3.692767858505249
Proposed w/o novelty (ablation),13,65090.70646128156,17.01694058093485,1.9881170262094263,62.1915825649381,1110.8478101903981,3.5782201290130615
Proposed w/o novelty (ablation),14,59538.91878822563,35.994565092487385,0.5993534770080158,56.53833509629686,1137.9150632515189,3.660857915878296
Proposed w/o novelty (ablation),15,60636.533902270116,22.62400745717202,0.9222170856552037,45.390434886486425,1119.7003826053908,3.5457186698913574
Proposed w/o novelty (ablation),16,74900.56186564166,2.719749469944567,2.8510492443639928,198.52050362846575,1086.43174495362,3.807295083999634
Proposed w/o novelty (ablation),17,63745.47517538569,9.310641567361571,0.5321248198153865,27.646588226737475,1100.4407889315432,3.6970810890197754
Proposed w/o novelty (ablation),18,56937.9563295996,28.168838751453222,0.8508655219908905,62.86343080086792,1127.1304009635314,3.5846965312957764
Proposed w/o novelty (ablation),19,73629.88378511282,12.725331878315622,12.599800547391537,202.52107910003465,1105.0191090390824,3.6261346340179443
NSGA-II,0,67161.30331308776,5.655891864333012,0.12006032986957482,38.964817892554336,1094.0325495528334,3.8897972106933594
NSGA-II,1,70756.36071322838,6.082302804455903,0.447011904585931,22.961944676790463,1094.342734400533,3.8184194564819336
NSGA-II,2,65960.85871475312,14.588967594152756,1.688570119508058,100.05469150291647,1107.8996014452898,3.735374689102173
NSGA-II,3,75348.56581494976,2.619461425494612,3.642741676972348,162.38691942814157,1083.247780324137,3.5856103897094727
NSGA-II,4,70380.1615069946,7.688689486839707,0.6190148327081723,34.67828267781359,1097.3247683638804,3.731826066970825
NSGA-II,5,63745.16465647784,18.674209222368216,0.5738725057785048,49.8896783326596,1113.8449566713964,3.667982339859009
NSGA-II,6,65791.08862441847,9.528640168561772,0.1480211028007849,17.54288399043096,1100.4318849441952,3.6905202865600586
