,CL-NSGA-II (Proposed),Proposed w/o novelty (ablation),NSGA-II,MOPSO,MODE,MOGWO
CL-NSGA-II (Proposed),1.0,0.9845906805326937,0.9845906805326937,1.7422492359919772e-07,0.00013282773998424258,0.04673625440062168
Proposed w/o novelty (ablation),0.9845906805326937,1.0,1.0,2.6387148022166684e-09,4.708598668079489e-06,0.005177601318689384
NSGA-II,0.9845906805326937,1.0,1.0,2.6387148022166684e-09,4.708598668079489e-06,0.005177601318689384
MOPSO,1.7422492359919772e-07,2.6387148022166684e-09,2.6387148022166684e-09,1.0,0.8026943230489758,0.05265662905464741
MODE,0.00013282773998424258,4.708598668079489e-06,4.708598668079489e-06,0.8026943230489758,1.0,0.6227407893345338
MOGWO,0.04673625440062168,0.005177601318689384,0.005177601318689384,0.05265662905464741,0.6227407893345338,1.0
